IES_ID;IES_ID_SNIESE;IES_NOMBRE_INSTIT;PRO_NOMBRE;CAN_NOMBRE;PRQ_NOMBRE;CAR_NOMBRE_CARRERA;AREA_NOMBRE;SUBAREA_NOMBRE;NIVEL;MODALIDAD;JORNADA;OFA_TITULO;OFA_ID;CUS_ID;CUS_CUPOS_NIVELACION;CUS_CUPOS_PRIMER_SEMESTRE;CUS_CUPOS_PC;CUS_TOTAL_CUPOS;DESCRIPCION_TIPO_CUPO;FOCALIZADA
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;DERECHO;CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO;DERECHO;TERCER NIVEL;PRESENCIAL;NOCTURNA;;244939;349360;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;DERECHO;CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO;DERECHO;TERCER NIVEL;PRESENCIAL;NOCTURNA;;244941;349419;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;PEDERNALES;PEDERNALES, CABECERA CANTONAL;FISIOTERAPIA;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;MATUTINA;;247157;350167;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;TURISMO SOSTENIBLE;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL;PRESENCIAL;MATUTINA;;248091;350106;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;METALMECANICA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INGENIERIA Y PROFESIONES AFINES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;NOCTURNA;;247871;350044;0;33;2;35;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;NUTRICION Y DIETETICA;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;VESPERTINA;;247697;349683;32;0;3;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN DE EMPRESAS Y DERECHO;EDUCACIÓN COMERCIAL Y ADMINISTRACION;TERCER NIVEL;PRESENCIAL;NOCTURNA;;245717;350442;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN DE EMPRESAS Y DERECHO;EDUCACIÓN COMERCIAL Y ADMINISTRACION;TERCER NIVEL;PRESENCIAL;VESPERTINA;;248381;350595;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN DE EMPRESAS Y DERECHO;EDUCACIÓN COMERCIAL Y ADMINISTRACION;TERCER NIVEL;PRESENCIAL;MATUTINA;;250943;349121;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;SUCRE;BAHÍA DE CARÁQUEZ;EDUCACION BASICA;EDUCACION;EDUCACION;TERCER NIVEL;PRESENCIAL;VESPERTINA;;246186;349337;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;ENTRENAMIENTO DEPORTIVO;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL;PRESENCIAL;MATUTINA;;247819;350657;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;TOSAGUA;TOSAGUA, CABECERA CANTONAL;ENFERMERIA;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;MATUTINA;;247082;350227;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;CONSTRUCCION SISMORRESISTENTE;INGENIERIA, INDUSTRIA Y CONSTRUCCION;ARQUITECTURA Y CONSTRUCCION;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;MATUTINA;;247119;350360;0;23;2;25;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;SUCRE;BAHÍA DE CARÁQUEZ;GASTRONOMIA;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;VESPERTINA;;245631;349600;0;28;2;30;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;GASTRONOMIA;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;MATUTINA;;248511;349352;0;32;3;35;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;GASTRONOMIA;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;VESPERTINA;;249886;349585;0;32;3;35;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;PSICOLOGIA EDUCATIVA;CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO;TERCER NIVEL;PRESENCIAL;VESPERTINA;;247525;349735;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;PSICOLOGIA EDUCATIVA;CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO;TERCER NIVEL;PRESENCIAL;NOCTURNA;;247927;350103;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;AGRONEGOCIOS;ADMINISTRACION;EDUCACION COMERCIAL Y ADMINISTRACION;TERCER NIVEL;PRESENCIAL;MATUTINA;;250216;349298;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;ADMINISTRACION DE EMPRESAS;ADMINISTRACION;EDUCACION COMERCIAL Y ADMINISTRACION;TERCER NIVEL;PRESENCIAL;VESPERTINA;;245620;349947;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;SOFTWARE;TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC);TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC);TERCER NIVEL;PRESENCIAL;MATUTINA;;247664;349116;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;PEDERNALES;PEDERNALES, CABECERA CANTONAL;EDUCACION INICIAL;EDUCACION;EDUCACION;TERCER NIVEL;PRESENCIAL;MATUTINA;;245034;350572;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;EDUCACION INICIAL;EDUCACION;EDUCACION;TERCER NIVEL;PRESENCIAL;MATUTINA;;248704;349220;36;0;4;40;CUPOS_NIVELACIÓN;N
